platform,type,company,year,sold,companyother
Nintendo DS,Handheld,Nintendo,2004,154.02,Nintendo
Game Boy,Handheld,Nintendo,1989,118.69,Nintendo
Nintendo Switch,Hybrid,Nintendo,2017,111.08,Nintendo
Wii,Home,Nintendo,2006,101.63,Nintendo
Game Boy Advance,Handheld,Nintendo,2001,81.51,Nintendo
Nintendo 3DS,Handheld,Nintendo,2011,75.94,Nintendo
NES/Famicom,Home,Nintendo,1983,61.91,Nintendo
SNES/Super Famicom,Home,Nintendo,1990,49.1,Nintendo
Game & Watch,Handheld,Nintendo,1980,43.4,Nintendo
Nintendo 64,Home,Nintendo,1996,32.93,Nintendo
GameCube,Home,Nintendo,2001,21.74,Nintendo
Wii U,Home,Nintendo,2012,13.56,Nintendo
Super NES Classic Edition,Dedicated,Nintendo,2017,5.28,Nintendo
Famicom Disk System,Home console add-on,Nintendo,1986,4.5,Nintendo
NES Classic Edition,Dedicated,Nintendo,2016,3.56,Nintendo
Color TV-Game,Dedicated,Nintendo,1977,3,Nintendo
