game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
CS:GO,Algeria,36.73,3.08,,,,,
CS:GO,Argentina,-34.920345000000005,-57.969559,,,,,
Horizon Zero Dawn ,Australia,-25.27,133.78,,,,,
Horizon Zero Dawn ,Austria,47.52,14.55,,,,,
FIFA 17,Bangladesh,23.68,90.36,51150.0,PS4,2016.0,Genre,Sports
FIFA 17,Bangladesh,23.68,90.36,51151.0,XOne,2016.0,Genre,Sports
FIFA 17,Bangladesh,23.68,90.36,51152.0,PS3,2016.0,Genre,Sports
FIFA 17,Bangladesh,23.68,90.36,51153.0,X360,2016.0,Genre,Sports
FIFA 17,Bangladesh,23.68,90.36,51154.0,PC,2016.0,Genre,Sports
FIFA 17,Bangladesh,23.68,90.36,67869.0,PS4,2016.0,Publisher,Electronic Arts
FIFA 17,Bangladesh,23.68,90.36,67870.0,XOne,2016.0,Publisher,Electronic Arts
FIFA 17,Bangladesh,23.68,90.36,67871.0,PS3,2016.0,Publisher,Electronic Arts
FIFA 17,Bangladesh,23.68,90.36,67872.0,X360,2016.0,Publisher,Electronic Arts
FIFA 17,Bangladesh,23.68,90.36,67873.0,PC,2016.0,Publisher,Electronic Arts
FIFA 17,Bangladesh,23.68,90.36,84588.0,PS4,2016.0,NA_Sales,0.66
FIFA 17,Bangladesh,23.68,90.36,84589.0,XOne,2016.0,NA_Sales,0.43
FIFA 17,Bangladesh,23.68,90.36,84590.0,PS3,2016.0,NA_Sales,0.05
FIFA 17,Bangladesh,23.68,90.36,84591.0,X360,2016.0,NA_Sales,0.07
FIFA 17,Bangladesh,23.68,90.36,84592.0,PC,2016.0,NA_Sales,0
FIFA 17,Bangladesh,23.68,90.36,101307.0,PS4,2016.0,EU_Sales,5.75
FIFA 17,Bangladesh,23.68,90.36,101308.0,XOne,2016.0,EU_Sales,2.05
FIFA 17,Bangladesh,23.68,90.36,101309.0,PS3,2016.0,EU_Sales,0.55
FIFA 17,Bangladesh,23.68,90.36,101310.0,X360,2016.0,EU_Sales,0.28
FIFA 17,Bangladesh,23.68,90.36,101311.0,PC,2016.0,EU_Sales,0.11
FIFA 17,Bangladesh,23.68,90.36,118026.0,PS4,2016.0,JP_Sales,0.08
FIFA 17,Bangladesh,23.68,90.36,118027.0,XOne,2016.0,JP_Sales,0
FIFA 17,Bangladesh,23.68,90.36,118028.0,PS3,2016.0,JP_Sales,0.03
FIFA 17,Bangladesh,23.68,90.36,118029.0,X360,2016.0,JP_Sales,0
FIFA 17,Bangladesh,23.68,90.36,118030.0,PC,2016.0,JP_Sales,0
FIFA 17,Bangladesh,23.68,90.36,134745.0,PS4,2016.0,Other_Sales,1.11
