,game,platform,year,Variable,playtime
0,Fallout 4,PS4,2015,MeanPlaytime,64.44790419
1,Fallout 4,XOne,2015,MeanPlaytime,64.44790419
2,Fallout 4,PC,2015,MeanPlaytime,64.44790419
3,Spore,PC,2008,MeanPlaytime,29.42413793
4,Left 4 Dead 2,X360,2009,MeanPlaytime,41.94344569
5,Left 4 Dead 2,PC,2009,MeanPlaytime,41.94344569
6,Left 4 Dead,X360,2008,MeanPlaytime,42.4504902
7,Left 4 Dead,PC,2008,MeanPlaytime,42.4504902
8,Tomb Raider,PS,1996,MeanPlaytime,15.60931373
9,Tomb Raider,PC,1996,MeanPlaytime,15.60931373
10,BioShock Infinite,X360,2013,MeanPlaytime,17.40141509
11,BioShock Infinite,PS3,2013,MeanPlaytime,17.40141509
12,BioShock Infinite,PC,2013,MeanPlaytime,17.40141509
13,Grand Theft Auto IV,X360,2008,MeanPlaytime,20.73584071
14,Grand Theft Auto IV,PS3,2008,MeanPlaytime,20.73584071
15,Grand Theft Auto IV,PC,2008,MeanPlaytime,20.73584071
16,BioShock,X360,2007,MeanPlaytime,7.616783217
17,BioShock,PS3,2008,MeanPlaytime,7.616783217
18,BioShock,PC,2007,MeanPlaytime,7.616783217
19,Ultra Street Fighter IV,PS4,2015,MeanPlaytime,36.5075
20,Sid Meier's Civilization V,PC,2010,MeanPlaytime,180.182852
21,L.A. Noire,PS3,2011,MeanPlaytime,15.70138889
22,L.A. Noire,X360,2011,MeanPlaytime,15.70138889
23,7 Days to Die,PS4,2016,MeanPlaytime,41.58673469
24,7 Days to Die,XOne,2016,MeanPlaytime,41.58673469
25,Company of Heroes,PC,2006,MeanPlaytime,9.841935484
26,Assassin's Creed II,PS3,2009,MeanPlaytime,27.9
27,Assassin's Creed II,X360,2009,MeanPlaytime,27.9
28,Assassin's Creed II,PC,2010,MeanPlaytime,27.9
29,Grand Theft Auto V,PS3,2013,MeanPlaytime,85.34089219
30,Grand Theft Auto V,X360,2013,MeanPlaytime,85.34089219
31,Grand Theft Auto V,PS4,2014,MeanPlaytime,85.34089219
32,Grand Theft Auto V,XOne,2014,MeanPlaytime,85.34089219
33,Grand Theft Auto V,PC,2015,MeanPlaytime,85.34089219
34,Far Cry 3,PS3,2012,MeanPlaytime,28.0441989
35,Far Cry 3,X360,2012,MeanPlaytime,28.0441989
36,Far Cry 3,PC,2012,MeanPlaytime,28.0441989
37,Rocket League,PS4,2016,MeanPlaytime,52.53154362
38,Rocket League,XOne,2016,MeanPlaytime,52.53154362
39,Rocket League,PC,2016,MeanPlaytime,52.53154362
40,Far Cry 4,PS4,2014,MeanPlaytime,35.76285714
41,Far Cry 4,XOne,2014,MeanPlaytime,35.76285714
42,Far Cry 4,PS3,2014,MeanPlaytime,35.76285714
43,Far Cry 4,X360,2014,MeanPlaytime,35.76285714
44,Far Cry 4,PC,2014,MeanPlaytime,35.76285714
45,Dying Light,PS4,2015,MeanPlaytime,27.6575
46,Dying Light,XOne,2015,MeanPlaytime,27.6575
47,Dying Light,PC,2015,MeanPlaytime,27.6575
48,Just Cause 2,PS3,2010,MeanPlaytime,18.58870968
49,Just Cause 2,X360,2010,MeanPlaytime,18.58870968
50,Just Cause 2,PC,2010,MeanPlaytime,18.58870968
51,Mirror's Edge,X360,2008,MeanPlaytime,4.482352941
52,Mirror's Edge,PS3,2008,MeanPlaytime,4.482352941
53,Mirror's Edge,PC,2009,MeanPlaytime,4.482352941
54,Portal 2,X360,2011,MeanPlaytime,20.12604857
55,Portal 2,PS3,2011,MeanPlaytime,20.12604857
56,Portal 2,PC,2011,MeanPlaytime,20.12604857
