rank,country,year,revenue,lat,long,continent,revenue_norm,rev_norm,rev_b,population,,,,,,
91,Bolivia,2019,14,-16.290154,-63.588653,South America,0.023721666,1206.896552,0.014,0.116,,,,,,
91,Bolivia,2020,18,-16.290154,-63.588653,South America,0.034264628,1551.724138,0.018,0.116,,,,,,
92,Ethiopia,2019,23,9.145,40.489673,Africa,0.047443332,2000.633453,0.023,0.114963588,,,,,,
91,Bolivia,2021,24,-16.290154,-63.588653,South America,0.050079072,2068.965517,0.024,0.116,,,,,,
92,Ethiopia,2021,24,9.145,40.489673,Africa,0.050079072,2087.617516,0.024,0.114963588,,,,,,
92,Ethiopia,2022,25,9.145,40.489673,Africa,0.052714813,2174.601579,0.025,0.114963588,,,,,,
91,Bolivia,2022,26,-16.290154,-63.588653,South America,0.055350554,2241.37931,0.026,0.116,,,,,,
92,Ethiopia,2020,26,9.145,40.489673,Africa,0.055350554,2261.585642,0.026,0.114963588,,,,,,
100,Angola,2019,9,-11.202692,17.873887,Africa,0.010542963,2743.902439,0.009,0.0328,,,,,,
97,Kenya,2019,16,-0.023559,37.906193,Africa,0.028993147,2975.565253,0.016,0.053771296,,,,,,
55,Bangladesh,2019,51,23.684994,90.356331,Asia,0.12124407,3098.420413,0.051,0.1646,,,,,,
51,Pakistan,2019,90,30.375321,69.345116,Asia,0.224037955,4074.383023,0.09,0.22089234,,,,,,
16,India,2019,592,20.593684,78.96288,Asia,1.547179758,4177.329992,0.592,1.417173173,,,,,,
100,Angola,2020,14,-11.202692,17.873887,Africa,0.023721666,4268.292683,0.014,0.0328,,,,,,
97,Kenya,2022,23,-0.023559,37.906193,Africa,0.047443332,4277.375052,0.023,0.053771296,,,,,,
100,Angola,2021,15,-11.202692,17.873887,Africa,0.026357406,4573.170732,0.015,0.0328,,,,,,
97,Kenya,2021,25,-0.023559,37.906193,Africa,0.052714813,4649.320708,0.025,0.053771296,,,,,,
55,Bangladesh,2020,77,23.684994,90.356331,Asia,0.189773326,4678.00729,0.077,0.1646,,,,,,
98,Ghana,2019,17,7.946527,-1.023194,Africa,0.031628888,5470.998238,0.017,0.03107294,,,,,,
97,Kenya,2020,30,-0.023559,37.906193,Africa,0.065893516,5579.18485,0.03,0.053771296,,,,,,
16,India,2020,819,20.593684,78.96288,Asia,2.145492884,5779.110243,0.819,1.417173173,,,,,,
53,Nigeria,2022,122,9.081999,8.675277,Africa,0.308381655,5918.319746,0.122,0.206139589,,,,,,
51,Pakistan,2022,131,30.375321,69.345116,Asia,0.332103321,5930.490845,0.131,0.22089234,,,,,,
51,Pakistan,2020,134,30.375321,69.345116,Asia,0.340010543,6066.303612,0.134,0.22089234,,,,,,
100,Angola,2022,20,-11.202692,17.873887,Africa,0.03953611,6097.560976,0.02,0.0328,,,,,,
55,Bangladesh,2022,108,23.684994,90.356331,Asia,0.271481286,6561.360875,0.108,0.1646,,,,,,
98,Ghana,2020,21,7.946527,-1.023194,Africa,0.04217185,6758.291941,0.021,0.03107294,,,,,,
98,Ghana,2022,22,7.946527,-1.023194,Africa,0.044807591,7080.115367,0.022,0.03107294,,,,,,
53,Nigeria,2020,148,9.081999,8.675277,Africa,0.376910912,7179.601003,0.148,0.206139589,,,,,,
53,Nigeria,2021,150,9.081999,8.675277,Africa,0.382182393,7276.622638,0.15,0.206139589,,,,,,
16,India,2022,1105,20.593684,78.96288,Asia,2.899314707,7797.212232,1.105,1.417173173,,,,,,
98,Ghana,2021,25,7.946527,-1.023194,Africa,0.052714813,8045.585645,0.025,0.03107294,,,,,,
51,Pakistan,2021,179,30.375321,69.345116,Asia,0.458618872,8103.495123,0.179,0.22089234,,,,,,
16,India,2021,1169,20.593684,78.96288,Asia,3.068002109,8248.815475,1.169,1.417173173,,,,,,
53,Nigeria,2019,186,9.081999,8.675277,Africa,0.477069056,9023.012072,0.186,0.206139589,,,,,,
55,Bangladesh,2021,150,23.684994,90.356331,Asia,0.382182393,9113.001215,0.15,0.1646,,,,,,
64,Myanmar,2019,56,21.913965,95.956223,Asia,0.134422773,10292.26353,0.056,0.0544098,,,,,,
78,Sri Lanka,2019,26,7.873054,80.771797,Asia,0.055350554,12142.01544,0.026,0.021413249,,,,,,
57,Iraq,2019,50,33.223191,43.679291,Asia,0.118608329,12430.85554,0.05,0.040222493,,,,,,
101,Georgia,2019,5,42.315407,43.356892,Europe,0,12533.94506,0.005,0.003989167,,,,,,
74,Uzbekistan,2019,46,41.377491,64.585262,Asia,0.108065366,13743.97831,0.046,0.033469203,,,,,,
64,Myanmar,2022,76,21.913965,95.956223,Asia,0.187137586,13968.07193,0.076,0.0544098,,,,,,
78,Sri Lanka,2020,32,7.873054,80.771797,Asia,0.071164997,14944.019,0.032,0.021413249,,,,,,
74,Uzbekistan,2022,52,41.377491,64.585262,Asia,0.12387981,15536.67113,0.052,0.033469203,,,,,,
64,Myanmar,2020,90,21.913965,95.956223,Asia,0.224037955,16541.13781,0.09,0.0544098,,,,,,
