game,platform,year,genre,publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,global_sales,critic_score,critic_count,User_Score,User_Count,Rating,platformC
Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79,,,,,,Atari
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,,,,,Atari
Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,,,,,Atari
Porkys,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25,,,,,,Atari
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22,,,,,,Atari
Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,,,,,,Atari
River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6,,,,,,Atari
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0,0.02,1.31,,,,,,Atari
Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,,,,,,Atari
Megamania,2600,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1,,,,,,Atari
Boxing,2600,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77,,,,,,Atari
Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0,0.01,0.66,,,,,,Atari
Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0,0.01,0.65,,,,,,Atari
The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55,,,,,,Atari
Fishing Derby,2600,1980,Sports,Activision,0.48,0.03,0,0.01,0.51,,,,,,Atari
River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51,,,,,,Atari
Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5,,,,,,Atari
Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49,,,,,,Atari
Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48,,,,,,Atari
Double Dragon,2600,1989,Action,Activision,0.45,0.02,0,0.01,0.47,,,,,,Atari
Commando,2600,1987,Action,Activision,0.44,0.02,0,0,0.47,,,,,,Atari
Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0,0.45,,,,,,Atari
Barnstorming,2600,1981,Action,Activision,0.4,0.02,0,0,0.43,,,,,,Atari
Laser Blast,2600,1981,Action,Activision,0.37,0.02,0,0,0.39,,,,,,Atari
Freeway,2600,1980,Action,Activision,0.32,0.02,0,0,0.34,,,,,,Atari
Frostbite,2600,1983,Action,Activision,0.32,0.02,0,0,0.34,,,,,,Atari
Dragster,2600,1980,Racing,Activision,0.3,0.02,0,0,0.32,,,,,,Atari
Dolphin,2600,1983,Action,Activision,0.27,0.02,0,0,0.29,,,,,,Atari
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0,0,0.27,,,,,,Atari
Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27,,,,,,Atari
Rampage,2600,1988,Action,Activision,0.22,0.01,0,0,0.24,,,,,,Atari
Ghostbusters II,2600,1992,Action,Activision,0.2,0.01,0,0,0.21,,,,,,Atari
Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0,0.15,,,,,,Atari
Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5,,,,,,Atari
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,,,,,,Atari
Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31,,,,,,Atari
Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76,,,,,,Atari
Space Invaders,2600,1978,Shooter,Atari,2.36,0.14,0,0.03,2.53,,,,,,Atari
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97,,,,,,Atari
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65,,,,,,Atari
Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0,0.02,1.64,,,,,,Atari
Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0,0.02,1.59,,,,,,Atari
Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,,,,,,Atari
Adventure,2600,1980,Adventure,Atari,1.21,0.08,0,0.01,1.3,,,,,,Atari
Combat,2600,1977,Action,Atari,1.17,0.07,0,0.01,1.25,,,,,,Atari
Pole Position,2600,1982,Racing,Atari,1.1,0.07,0,0.01,1.18,,,,,,Atari
