Country,Life expectancy males,Life expectancy females,Birth rate,Death rate
Hong Kong,82.9 years,88.0 years,5.8 ‰,6.8 ‰
Iceland,81.7 years,84.5 years,12.3 ‰,6.3 ‰
Japan,81.6 years,87.7 years,6.8 ‰,11.1 ‰
Norway,81.6 years,84.9 years,9.8 ‰,7.5 ‰
Singapore,81.5 years,86.1 years,8.5 ‰,5.2 ‰
Macao,81.4 years,87.3 years,10.7 ‰,4.1 ‰
Australia,81.2 years,85.3 years,11.5 ‰,6.3 ‰
Switzerland,81.1 years,85.2 years,9.9 ‰,8.8 ‰
Malta,80.8 years,84.6 years,8.6 ‰,7.9 ‰
Sweden,80.7 years,84.2 years,10.9 ‰,9.5 ‰
Israel,80.7 years,84.8 years,19.2 ‰,5.3 ‰
South Korea,80.5 years,86.5 years,5.3 ‰,5.9 ‰
Ireland,80.4 years,84.1 years,11.2 ‰,6.4 ‰
New Zealand,80.3 years,83.9 years,11.3 ‰,6.4 ‰
Italy,80.1 years,84.7 years,6.8 ‰,12.6 ‰
Netherlands,79.8 years,83.1 years,9.7 ‰,9.7 ‰
Canada,79.7 years,83.9 years,9.4 ‰,8.1 ‰
Spain,79.7 years,85.1 years,7.1 ‰,10.4 ‰
Denmark,79.6 years,83.6 years,10.4 ‰,9.4 ‰
Finland,79.4 years,85.0 years,8.4 ‰,10.0 ‰
Luxembourg,79.4 years,84.2 years,10.2 ‰,7.3 ‰
Qatar,79.3 years,82.1 years,9.2 ‰,1.3 ‰
France,79.2 years,85.3 years,10.9 ‰,9.9 ‰
United Kingdom,79.0 years,82.9 years,10.2 ‰,10.4 ‰
Austria,78.9 years,83.6 years,9.4 ‰,10.3 ‰
Germany,78.6 years,83.4 years,9.3 ‰,11.9 ‰
Belgium,78.6 years,83.1 years,9.9 ‰,11.0 ‰
Greece,78.6 years,83.7 years,7.9 ‰,12.2 ‰
Bermuda,78.3 years,86.0 years,8.4 ‰,8.8 ‰
Portugal,78.0 years,84.1 years,8.2 ‰,12.0 ‰
Chile,78.0 years,82.5 years,12.0 ‰,6.3 ‰
Costa Rica,78.0 years,83.0 years,13.4 ‰,5.2 ‰
Maldives,77.8 years,81.0 years,13.1 ‰,2.7 ‰
United Arab Emirates,77.4 years,79.5 years,10.1 ‰,1.6 ‰
Albania,77.2 years,80.3 years,11.5 ‰,8.3 ‰
Cuba,76.9 years,80.9 years,9.8 ‰,9.3 ‰
Puerto Rico,76.7 years,83.6 years,5.6 ‰,9.6 ‰
Bahrain,76.6 years,78.6 years,13.3 ‰,2.4 ‰
Oman,76.4 years,80.5 years,17.8 ‰,2.4 ‰
Algeria,75.9 years,78.3 years,22.8 ‰,4.7 ‰
Iran,75.8 years,78.1 years,17.9 ‰,4.8 ‰
Morocco,75.6 years,78.1 years,18.1 ‰,5.1 ‰
Czechia,75.3 years,81.3 years,10.3 ‰,12.1 ‰
Turkey,75.0 years,80.8 years,15.5 ‰,5.5 ‰
China,75.0 years,79.4 years,8.5 ‰,7.1 ‰
Brunei,74.9 years,77.3 years,14.1 ‰,4.7 ‰
Kuwait,74.9 years,76.7 years,12.6 ‰,2.9 ‰
Colombia,74.7 years,80.2 years,14.4 ‰,5.7 ‰
Croatia,74.7 years,80.9 years,8.9 ‰,14.1 ‰
Ecuador,74.5 years,80.0 years,19.2 ‰,5.1 ‰
United States,74.5 years,80.2 years,10.9 ‰,10.3 ‰
Malaysia,74.4 years,78.5 years,16.4 ‰,5.3 ‰
Peru,74.3 years,79.7 years,17.5 ‰,5.7 ‰
Estonia,74.2 years,82.7 years,9.9 ‰,11.9 ‰
Saudi Arabia,74.1 years,76.9 years,16.8 ‰,3.5 ‰
Sri Lanka,73.8 years,80.4 years,15.3 ‰,6.9 ‰
Thailand,73.7 years,81.1 years,10.0 ‰,7.9 ‰
Argentina,73.4 years,80.1 years,16.6 ‰,7.6 ‰
Montenegro,73.2 years,78.8 years,11.4 ‰,11.7 ‰
Jamaica,73.0 years,76.2 years,15.7 ‰,7.6 ‰
Poland,72.6 years,80.8 years,9.4 ‰,12.6 ‰
Brazil,72.5 years,79.7 years,13.5 ‰,6.6 ‰
Mexico,72.3 years,77.9 years,17.0 ‰,6.2 ‰
Hungary,72.3 years,79.1 years,9.6 ‰,14.5 ‰
Armenia,71.5 years,78.7 years,13.3 ‰,9.8 ‰
Vietnam,71.4 years,79.6 years,16.1 ‰,6.4 ‰
Serbia,71.4 years,77.2 years,8.9 ‰,16.9 ‰
Bangladesh,71.1 years,74.9 years,17.5 ‰,5.5 ‰
Latvia,70.9 years,80.1 years,9.2 ‰,15.2 ‰
Mauritius,70.9 years,77.7 years,10.6 ‰,8.7 ‰
Azerbaijan,70.6 years,75.6 years,12.5 ‰,7.5 ‰
Romania,70.5 years,78.4 years,9.2 ‰,15.4 ‰
Lithuania,70.1 years,80.0 years,9.0 ‰,15.6 ‰
Bulgaria,69.9 years,77.5 years,8.5 ‰,18.0 ‰
Egypt,69.9 years,74.5 years,25.1 ‰,5.7 ‰
Indonesia,69.8 years,74.2 years,17.4 ‰,6.6 ‰
Nepal,69.5 years,72.5 years,19.3 ‰,6.3 ‰
Georgia,69.5 years,78.3 years,12.9 ‰,12.7 ‰
Bolivia,68.9 years,74.8 years,21.2 ‰,6.8 ‰
North Korea,68.8 years,75.9 years,13.8 ‰,9.3 ‰
Iraq,68.7 years,72.8 years,28.1 ‰,4.7 ‰
El Salvador,68.7 years,78.0 years,17.8 ‰,7.1 ‰
India,68.7 years,71.2 years,17.4 ‰,7.3 ‰
Venezuela,68.3 years,76.0 years,17.3 ‰,7.2 ‰
Cambodia,67.7 years,72.2 years,21.6 ‰,6.0 ‰
Timor-Leste,67.7 years,71.9 years,29.0 ‰,5.9 ‰
Philippines,67.4 years,75.6 years,19.9 ‰,6.0 ‰
Kazakhstan,67.1 years,75.5 years,22.8 ‰,8.6 ‰
Russia,66.5 years,76.4 years,9.8 ‰,14.6 ‰
Pakistan,66.5 years,68.5 years,27.4 ‰,6.8 ‰
Laos,66.4 years,70.1 years,22.7 ‰,6.3 ‰
Ukraine,66.4 years,76.2 years,7.8 ‰,15.9 ‰
Senegal,66.0 years,70.2 years,33.4 ‰,5.5 ‰
Mongolia,66.0 years,74.3 years,22.6 ‰,6.4 ‰
Fiji,65.8 years,69.5 years,20.6 ‰,8.3 ‰
Ethiopia,65.0 years,68.9 years,31.4 ‰,6.3 ‰
Kenya,64.6 years,69.4 years,27.9 ‰,5.3 ‰
Yemen,64.5 years,67.9 years,29.3 ‰,6.0 ‰
Burma,64.3 years,70.3 years,17.2 ‰,8.3 ‰
Afghanistan,63.7 years,66.7 years,31.2 ‰,6.2 ‰
Sudan,63.7 years,67.4 years,31.5 ‰,7.0 ‰
Ghana,63.2 years,65.5 years,28.6 ‰,7.1 ‰
Haiti,62.1 years,66.5 years,23.6 ‰,8.4 ‰
Zambia,61.1 years,67.2 years,35.4 ‰,6.2 ‰
South Africa,61.0 years,67.9 years,19.8 ‰,9.4 ‰
Zimbabwe,60.0 years,63.2 years,29.0 ‰,7.7 ‰
Congo (Dem. Republic),59.4 years,62.5 years,40.1 ‰,9.1 ‰
Cameroon,58.4 years,60.9 years,34.4 ‰,8.9 ‰
Equatorial Guinea,58.1 years,60.3 years,32.3 ‰,8.9 ‰
Ivory Coast,56.9 years,59.5 years,35.2 ‰,9.7 ‰
Somalia,56.0 years,59.4 years,41.4 ‰,10.5 ‰
Nigeria,54.1 years,56.0 years,37.0 ‰,11.4 ‰
